---
Terrain Height [ft] Valid 1200 BST ~Z75~(1100Z)~Z~ WED 20 Jun 2012 ~Z75~[155hrFcst@1157z]~Z~
Model= RASP Region= UK12+6 Grid= d2 Reskm= 12 Indexs= 1 57 1 90 Proj= lambert 12000 12000 60.0000 60.0000 17.0000 54.5000 -3.5000
Day= 2012 6 20 WED ValidLST= 1200 BST ValidZ= 1100 Fcst= 155.0 Init= 150 Param= wrf=HGT Unit= [ft] Mult= 1 Min= 0 Max= 2192
0 0 0 0 0 0 0 0 1 2 0 9 35 88 137 175 263 389 572 828 1014 954 872 848 590 358 356 358 285 251 295 308 278 278 340 410 392 309 235 164 106 67 33 20 53 137 189 137 83 53 30 11 0 0 0 0 0
0 0 0 0 0 0 0 0 2 3 0 36 132 257 349 368 406 497 588 732 902 919 877 851 637 421 403 410 327 303 391 396 327 306 311 342 382 361 282 188 111 58 22 6 29 102 148 114 87 61 28 9 0 0 0 0 0
0 0 0 0 0 1 1 0 2 3 0 60 200 369 474 466 481 571 664 837 1058 1063 967 965 811 544 467 490 388 342 440 432 341 320 330 324 348 380 327 224 135 64 19 0 0 44 72 54 42 33 13 6 0 0 0 0 0
0 0 0 0 0 0 0 0 2 3 0 48 130 222 278 297 349 438 556 823 1149 1191 1046 1025 934 701 606 573 415 343 434 446 334 294 349 341 293 311 315 255 176 90 28 7 0 0 0 5 8 10 8 4 0 0 0 0 0
7 6 5 4 2 0 0 0 1 2 0 0 30 40 48 70 109 163 282 574 1017 1218 1060 941 872 769 682 523 367 320 376 406 314 263 296 274 223 219 237 237 195 110 57 50 29 0 0 4 5 5 4 2 0 0 0 0 0
17 14 11 8 5 1 0 0 0 1 0 0 0 0 0 0 0 0 68 301 762 1056 963 784 668 606 512 353 286 297 331 360 326 285 264 237 224 197 166 182 178 117 105 137 94 23 0 3 3 2 2 1 0 0 0 0 0
46 41 35 30 23 12 4 0 0 0 0 0 0 0 0 0 0 0 0 158 536 825 904 817 607 435 324 252 245 303 384 434 452 459 425 365 329 256 163 139 140 122 157 201 133 32 0 3 2 0 0 0 0 0 0 0 0
91 82 73 65 54 36 19 8 3 0 0 0 0 0 0 0 0 0 0 138 484 808 1017 1065 890 607 355 244 236 288 400 530 664 732 664 532 412 290 186 134 123 145 206 212 107 19 0 2 2 0 0 0 0 0 0 0 0
152 140 126 114 98 75 48 20 8 1 0 0 0 0 0 0 0 0 0 93 414 862 1177 1234 1127 891 527 270 214 220 287 520 844 951 811 622 412 257 176 130 121 160 220 175 58 0 0 2 2 0 0 0 0 0 0 0 0
219 204 189 174 156 139 107 61 22 7 0 0 0 0 0 0 8 32 49 93 351 845 1189 1180 1031 885 626 289 167 167 172 400 810 1033 964 719 408 223 141 85 77 121 163 103 21 0 0 2 2 0 0 0 0 0 0 0 0
289 273 257 242 225 218 190 136 67 16 0 0 0 0 0 0 0 61 111 210 517 938 1113 1048 885 697 501 221 96 118 120 239 550 953 1125 836 413 207 111 39 24 61 86 42 4 0 0 2 2 0 0 0 0 0 0 0 0
362 347 333 318 307 316 299 246 164 54 0 0 0 0 0 0 0 29 71 207 550 955 1024 813 612 440 276 111 45 81 114 153 360 834 1088 772 359 185 95 27 23 67 73 26 0 0 0 2 2 0 0 0 0 0 0 0 0
414 402 390 378 370 385 386 370 325 160 24 0 0 0 0 0 0 0 0 74 265 561 652 419 223 161 95 44 59 126 207 295 486 800 865 571 297 175 92 41 74 143 123 38 0 0 0 2 2 0 0 0 0 0 0 0 0
448 439 430 423 418 417 427 492 548 378 114 0 0 0 0 0 0 0 6 50 116 162 171 99 31 21 0 14 64 153 312 538 738 858 772 520 325 210 110 63 139 250 225 108 33 0 0 3 2 0 0 0 0 0 0 0 0
455 455 451 449 447 443 455 603 823 738 333 58 0 0 0 0 0 0 0 64 106 52 0 0 0 0 0 0 28 91 258 511 720 848 805 598 403 250 122 82 180 312 317 207 87 17 0 3 2 0 0 0 0 0 0 0 0
455 456 455 456 456 453 466 613 927 1042 621 129 0 0 0 0 0 0 0 23 34 0 0 0 0 0 0 0 4 34 193 446 609 701 754 702 525 284 128 126 198 271 309 238 91 0 0 3 3 0 0 0 0 0 0 0 0
437 441 443 444 446 441 447 518 739 930 617 130 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 231 601 724 711 869 967 725 334 167 253 330 343 375 284 87 0 0 3 3 0 0 0 0 0 0 0 0
405 412 415 413 415 405 397 409 464 508 308 59 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 190 560 793 961 1205 1218 832 359 222 421 602 612 520 309 81 0 0 2 2 0 0 0 0 0 0 0 0
372 380 384 382 386 376 361 346 317 265 161 61 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 29 99 303 676 1141 1393 1241 822 392 235 403 650 686 456 177 31 0 0 2 2 0 0 0 0 0 0 0 0
338 346 352 352 357 357 347 318 280 250 206 117 29 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 81 147 156 244 621 1152 1419 1284 887 456 223 221 347 384 210 40 0 0 0 1 1 0 0 0 0 0 0 0 0
306 314 321 326 332 343 348 317 273 254 225 135 36 0 0 0 0 0 0 0 23 46 22 0 0 0 0 40 202 379 435 527 785 1091 1319 1314 951 510 285 190 126 87 39 0 0 0 0 0 0 0 0 0 0 0 0 0 0
282 290 299 308 315 328 344 334 280 249 236 144 35 0 0 0 0 0 0 0 55 178 206 94 0 0 0 42 328 726 903 988 981 962 1200 1348 1061 644 413 296 146 27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
267 276 288 308 315 317 336 356 328 288 239 132 45 18 0 0 0 0 0 0 35 206 334 191 27 0 0 56 419 933 1184 1186 911 856 1347 1587 1286 829 495 313 154 34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
262 273 288 308 315 320 339 381 411 380 260 163 176 243 229 94 0 0 0 0 0 73 151 98 0 0 0 57 328 711 987 1004 724 843 1449 1620 1260 797 454 246 91 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
262 273 288 308 326 338 354 395 443 443 373 341 390 511 536 278 50 0 0 0 0 0 0 0 0 0 0 20 116 306 545 619 517 730 1151 1182 884 573 359 195 55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
269 282 300 326 347 352 361 377 396 427 474 504 460 449 503 375 144 35 0 0 0 0 0 0 0 0 0 22 23 69 162 203 239 473 765 773 594 476 373 207 55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
281 297 320 351 374 380 373 366 367 393 429 451 377 303 347 351 214 77 22 0 0 10 0 25 46 64 100 128 110 61 47 80 156 395 712 765 629 568 487 280 76 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
281 301 329 368 396 432 411 385 416 428 363 310 269 247 291 332 247 105 28 0 0 30 44 78 135 238 288 297 282 172 154 271 404 628 897 971 872 756 603 361 118 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
272 295 329 368 412 467 436 420 494 509 431 313 224 196 265 362 311 159 44 0 30 90 169 211 300 495 528 479 430 308 347 545 743 895 988 1043 1057 998 775 431 152 24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
251 278 319 368 413 467 447 485 548 524 509 435 302 211 239 382 459 310 86 0 23 138 327 418 568 808 806 723 639 570 690 873 992 988 885 805 868 982 821 430 131 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
